list1,list2
Morganti Group,MORGANTI GROUP
MPRI/Beamhit,MPRI BEAMHIT
KFX Inc,KFX
HNTB Corp,HNTB CORP
Aristatek Inc,ARISTATEK
ContourMed,Contourmed
J Ritchie,J RITCHIE
Mosaic Co,MOSAIC CO
Kuskokwim Corp,KUSKOWIM CORP
Kennametal Inc,KENNAMETAL INC
Owens-Illinois,OWENS CORNING
Atlas Crossing,ATLAS CROSSING
"Hill, Matt",Matt Hill
Cogon Systems,COGON SYSTEMS
Agway Inc,AGWAY
Money Tree,MONEY TREE
Kemper Co,KEMPER CO
Geooptics LLC,"GeoOptics, LLC"
Westvaco Corp,MEADWESTVACO
Achaogen,ACHAOGEN INC
Free Press,FREE PRESS
Greenville,GREENVILLE
"Kilkenny, Alan",ALAN KILKENNY
Sepracor Inc,Sepracor Inc.
LiveRamp Inc,Acxiom
GATX Corp,GATX CORP
Welch Foods,WELCH FOODS
Metcor Ltd,METCOR
Wiley X Inc,"Wiley X, Inc."
Lasercard Corp,LASER CARD
SpaceDev Inc,SPACEDEV INC
"Griffin, Dick","GRIFFIN, DICK"
Mpc Consulting,MPC CONSULTING
"Zolt, Eric",Eric Zolt
Genentech Inc,"Genetech, Inc."
BPI Technology,BPI TECHNOLOGY
HMS Holdings,HMS
Centene Corp,CENTENE CORP
Unisys Corp,UNISYS
"McCoy, William",William McCoy
"Cecchetti, Ann","CECCHETTI, ANN"
"Ryan, Liz","RYAN, LIZ"
Legacy Group,LEGACY GROUP
Securify Inc,SECURIFY INC
TSX Group,TSX GROUP
Forthright,FORTHRIGHT
"Platt, Susan S","PLATT, SUSAN S"
Veb Bank,VEB BANK
ThermoNor AS,THERMONOR AS
VistaPrint,Vista Print
Nbii Coalition,NBII COALITION
Twin Metals,TWIN METALS
Oceana,"OCEANA, INC."
PanAmSat Corp,PANAMSAT CORP
Paceco Corp,PACECO CORP
Entegris Inc,ENTEGRIS INC
Visa USA,"VISA, INC"
Sodexo USA,"Sodexho, Inc."
CJ Lake,CJ Lake LLC
Dpwn USA,DPWN-USA INC
Bell Atlantic,VERIZON CORP
"Brown, Kenneth",Kenneth Brown
Monteco Corp,Monteco Ltd.
FedBid Inc,FEDBID INC
Rasp,RASP
PacifiCorp,PacificCorp
Walsh College,WALSH COLLEGE
CVS Corp,CVS
Bags To Go,BAGS TO GO
Timken Co,TORRINGTON CO
"Igler, George",George Igler
Degmor Inc,"Degmor, Inc"
Entia Ventures,ENTIA VENTURES
Tetra Tech,TETRA TECH
Nabisco Inc,RJR NABISCO
Lauras AS,LAURAS AS
Kawerak,"Kawerak, Inc."
ProVest,ProVest LLC
Kopin Corp,KOPIN CORP
Navajo Nation,NAVAJO NATION
Biogen,Biogen Inc.
Yasoo Health,YASOO HEALTH
"Duggan, Brian",Brian Duggan
Experian,EXPERIAN INC
Niitek Inc,NIITEK INC
Globalcom Inc,GLOBALCOM INC.
Thomson West,THOMSON WEST
"Holt, Terry","HOLT, TERRY"
NTT America,NTT-USA INC
"Buehler, Gary",Gary Buehler
Amerinet Inc,AMERINET INC
Aquila Inc,AQUILA INC
Pavol Kosa,PAVOL KOSA
Serco Inc,"Serco, Inc."
Faac Inc,FAAC INC
"Smith, Janine",Janine Smith
Martz Group,MARTZ GROUP
Mirram Group,MIRRAM GROUP
YWCA Columbus,YWCA COLUMBUS
Wisk LLC,"Wisk, LLC"
SpeedInfo,SPEEDINFO
TEAM Inc,"T.E.A.M., INC"
Conseco Inc,CONSECO COS
Coach USA,"Coach USA, Inc"
erinMedia LLC,ERINMEDIA LLC
Alpharma Inc,ALPHARMA INC
Democracy 21,DEMOCRACY 21
McDermott Inc,MCDERMOTT INC
Elwyn Inc,Elwyn
Traumacure,TRAUMA CURE
Fluor Corp,Fluor
Intrafusion,INTRAFUSION
Fitch Ratings,FITCH RATINGS
ViaSat Inc,VIASAT
Atieva Inc,"Atieva, Inc."
Siderca,SIDERCA
DayJet Corp,DAYJET
BAE Systems,CAE USA INC
Yavapai Ranch,YAVAPAI RANCH
Sunpower Corp,SUNPOWER CORP
Amgen Inc,"AMGEN, INC."
Engine,Hattery
Nanomech LLC,NanoMech LLC
Workday Inc,"Workday, Inc."
"Backlin, James",James Backlin
IGCC Coalition,IGCC COALITION
Stamats,STAMATS
Noble Ventures,NOBLE VENTURES
NANOH2O Inc,"NANOH2O, Inc"
"Williams, JD",WILLIAMS J D
Zane & Assoc,ZANE & ASSOC
Mail Boxes Etc,MAIL BOXES ETC
Rider Bennett,RIDER BENNETT
Ivax Corp,IVAX CORP
Intramicron,INTRAMICRON
Ice Energy,ICE-ENERGY
Avenue A Inc,"AVENUE A, INC"
Echo Bay Mines,ECHO BAY MINES
Brooks Group,BROOKS GROUP
Congoleum Corp,CONGOLEUM CORP
SkyTerra LP,LIGHTSQUARED
CA Inc,"CA, INC."
Kytaron,KYTARON
Kroll Inc,KROLL
"Matute, Mario","MATUTE, MARIO"
Saks Inc,SAKS
Arcapita Inc,"Arcapita, Inc."
Bellamy Group,BELLAMY GROUP
Landmann USA,LANDMANN USA
CP Morgan,C. P MORGAN
HDR Inc,HDR
Equifax Inc,"EQUIFAX, INC"
Scott Group,SCOTT GROUP
NCC Inc,"NCC, Inc."
FMC Wyoming,FMC WYOMING
Thorium Power,THORIUM POWER
Arcosa Inc,"Arcosa, Inc."
CSHM LLC,"CSHM, LLC"
Peoplewise,PEOPLEWISE
M-Trigen Inc,"M-Trigen, Inc."
Sunda Alexis,SUNDA ALEXIS
Tronox Inc,Tronox Limited
Unisphere Inc,UNISPHERE INC
Charles Group,CHARLES GROUP
Novopharm USA,NOVOPHARM USA
BBVA Compass,BBVA COMPASS
Wix.com,"Wix.com, Inc."
Tiax Llc,TIAX
"Case, Nicole",Nicole Case
Navieras,NAVIERAS
NBC Television,NBC
Usinor SA,USINOR S.A.
Yukos Oil,YUKO OIL CO
OptaSense,Optasense
AxoGen Inc,AxoGen Inc.
Emdeon Corp,EMDEON CORP
NAMMO Inc,"NAMMO, INC"
I2 Group,"I2 GROUP, LLC"
Fiserv Inc,FISERV INC
Bloomberg LP,BLOOMBERG LLP
Availity LLC,"Availity, LLC"
Par Technology,PAR Technology
Solyndra Inc,"Solyndra, Inc."
Mesa Water,MESA WATER INC
Abiomed Inc,Abiomed
Farnsworth,FARNSWORTH
8x8 Inc,8X8 INC
TEN Media,"TEN Media, LLC"
MRSSI Inc,MRSSI INC
Planetrx,PLANETRX
Sappi,SAPPI
Haptica Ltd,"Haptica, Ltd."
Ontario Pork,ONTARIO PORK
"Bifano, Joseph","BIFANO, JOSEPH"
Sara Lee Corp,SARA LEE CORP
Infotrek,INFOTREK
ConsenSys Inc,ConsenSys Inc.
Celgene Corp,CELGENE CORP
Tagsys USA Inc,TAGSYS
Cyoptics,CYOPTICS LLC
Rex Systems,REX SYSTEMS
MPS Group,MPS GROUP
United Online,UNITED ONLINE
DCS Group,DCS
Petrol Rem Inc,PETROLREM
GigaTrust,GIGATRUST
Wayfair Inc,Wayfair LLC
SunTrust Banks,SunTrust Bank
ESPP Coalition,ESPP COALITION
Envysion,ENVYSION
Farm Market ID,FARM MARKET ID
Rentech Inc,RENTECH INC
Curium US,Curium US LLC
Exegy Inc,EXEGY INC
Oneida Ltd,ONEIDA LTD
BP America,BP AMOCO
Neve College,NEVE COLLEGE
Arkema Inc,ARKEMA INC.
Rockstar Inc,Rockstar
ResMed Inc,RESMED CORP
Worldspace Inc,WORLDSPACE INC
Beta UBD,BETA UBD LLC
Chubb Corp,CHUBB CORP
Regence Group,REGENCE GROUP
XBRL US Inc,"XBRL US, INC."
ESA Inc,ESA
UniGroup Inc,UNIGROUP
Cryolife Inc,CRYOLIFE
3Dcision Inc,3Dcision
Oxfam America,OXFAM AMERICA
Crane & Co,CRANE CO
VMware Inc,"VMware, Inc"
NAAA-ADC Inc,NAAA-ADC
Organovo Inc,Organovo
Elsevier Inc,ELSEVIER INC
Potomac Group,POTOMAC GROUP
V-One,V-ONE
Albright Group,ALBRIGHT GROUP
US Action,USACTION
Allflex USA,ALLFLEX USA
Allaccem Inc,"AllAccem, Inc."
CHS Inc,"CHS, INC"
Harmonia Inc,"Harmonia, Inc."
B&D Dairy,B and D Dairy
Alkermes Inc,"Alkermes, Inc."
Syngenta Corp,Syngenta
RELX Group,RELX Inc.
Advaxis Inc,"Advaxis, Inc."
Borsight Inc,Borsight Inc.
"Bush, Milton M",Milton Bush
Avineon Inc,AVINEON INC
Cope Assoc,COPE ASSOC INC
Cumulus Media,CUMULUS MEDIA
NEC Greenville,NEC GREENVILLE
"Durkin, John A","DURKIN, JOHN A"
Zoetis Inc,Zoetis Inc.
El Paso Energy,EL PASO CORP
"Libi, Mauro",Mauro Libi
PIVX Solutions,PIVX SOLUTIONS
Envizion,ENVIZION
Centrus Energy,CENTRUS
"Aho, David J","AHO, DAVID J."
Holly Corp,HOLLY CORP
Cummins Inc,CUMMINS INC
Gts Globalift,GTS GLOBALIFT
Forevergreen,FOREVERGREEN
Wellpoint Inc,ANTHEM INC
C Soriano,C. Soriano
Fannie Mae,FANNIE MAE
Markcorp,"MARKCORP, INC."
Arconic Inc,Arconic
FN Herstal,FNH USA
Maverick Corp,MAVERICK CORP
H&R Block,"H&R Block, Inc"
Hydroflo Inc,HYDROFLO INC
PentagonLight,PENTAGONLIGHT
Ultraclenz Llc,ULTRACLENZ
